@CO	shape:(6787, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
5.551115123125783e-17	-96.57060164914662
-8.098830033701178	-0.0003039406546395673
5.551115123125783e-17	-96.57060164914662
-2.47139214648584e-09	-19.81604333040158
5.551115123125783e-17	-96.57060164914662
-1.9521802113731113e-07	-15.4491905126119
5.551115123125783e-17	-80.21410397853865
-4.389032809415383e-08	-16.94133948587945
5.551115123125783e-17	-96.57060164914662
-1.0223047247626127e-07	-16.09604500197958
5.551115123125783e-17	-27.3731657602093
-17.05719121988232	-3.909921475475642e-08
5.551115123125783e-17	-96.57060164914662
-4.91810270897286e-07	-14.525152458957617
5.551115123125783e-17	-45.0127304998376
5.551115123125783e-17	-96.57060164914662
-6.191893225926393e-08	-16.597307330691063
5.551115123125783e-17	-59.00909813976651
-3.738652500362427e-07	-14.799371571933802
5.551115123125783e-17	-96.57060164914662
-3.337953274895611e-08	-17.21538645377705
5.551115123125783e-17	-30.977990016323254
-32.65893812025888	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-1.8429346685389092e-06	-13.204157311776548
5.551115123125783e-17	-96.57060164914662
-4.607300157666305e-05	-9.98530653354181
-29.39701561228047	5.551115123125783e-17
-4.197671654715407e-10	-21.578149387166924
-3.0063230238575045e-09	-19.621574463863947
5.551115123125783e-17	-35.512729574946725
-6.63178746779236e-05	-9.621084346506397
-13.614015630393576	-1.2232362825992382e-06
5.551115123125783e-17	-96.57060164914662
-1.761887829521136e-07	-15.551680370547741
5.551115123125783e-17	-96.57060164914662
-1.0756827151237047e-08	-18.34710077284858
-1.048084136145988e-08	-18.37456846481348
-4.429675015682477e-09	-19.233676466775513
5.551115123125783e-17	-96.57060164914662
-5.02520175471588e-09	-19.107133212953617
5.551115123125783e-17	-96.57060164914662
-19.876709336466234	-2.3404851945407756e-09
-71.61318049063276	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-2.9206143059568035e-10	-21.953103924231435
5.551115123125783e-17	-96.57059831549121
-1.2528288961810574e-09	-20.503558572166597
5.551115123125783e-17	-96.57060164914662
-9.4365348191776	-7.975948520272391e-05
5.551115123125783e-17	-83.13015275249012
-8.789243751139431e-07	-13.944571932757576
5.551115123125783e-17	-96.57060164914662
-3.3110277297687674e-09	-19.523202045028803
5.551115123125783e-17	-96.57060164914662
-6.20629164727049e-09	-18.898727834996077
5.551115123125783e-17	-28.13240069960167
-14.773289792444151	-3.8373752420106655e-07
-73.54296796862945	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-3.7389131918308394e-07	-14.799285468346271
-56.19874763213045	5.551115123125783e-17
-37.468842772069436	5.551115123125783e-17
-5.700079241943712e-09	-18.982159148648993
5.551115123125783e-17	-51.179876088072405
-11.067932619856526	-1.5604910468258737e-05
5.551115123125783e-17	-96.57060164914662
-9.909942477737133e-09	-18.428819663361427
5.551115123125783e-17	-33.06165581621231
-5.8207605402316176e-11	-23.520409191356887
5.551115123125783e-17	-44.98081777609064
5.551115123125783e-17	-96.57060164914662
-1.455191467325534e-09	-20.348594846935352
-3.899913225691165e-09	-19.362561851432783
5.551115123125783e-17	-39.065834476924316
-1.5723008617296585e-08	-17.967791208472647
5.551115123125783e-17	-37.661936175223985
-8.513122984332711e-10	-20.87889245175804
5.551115123125783e-17	-92.58439641746129
5.551115123125783e-17	-91.82133108890521
-1.1879736089293047e-07	-15.945767111084926
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
-2.3456397935106565e-10	-22.12110668380318
5.551115123125783e-17	-77.31457531647973
5.551115123125783e-17	-39.8994027372665
-1.3578635493782798e-08	-18.11519631625009
5.551115123125783e-17	-29.71193135147359
5.551115123125783e-17	-37.75375781891534
5.551115123125783e-17	-76.90094889835815
5.551115123125783e-17	-96.57049752082278
5.551115123125783e-17	-62.01885736930893
5.551115123125783e-17	-55.336898330336716
-2.9558522296468936e-11	-23.86940818844805
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-95.91632736101657
-36.33734823630512	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
-70.93963092430627	5.551115123125783e-17
5.551115123125783e-17	-56.545266960510894
5.551115123125783e-17	-96.57060164914662
-85.7485390649037	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-26.440132421814514
5.551115123125783e-17	-60.596359739062805
-1.1641526631578358e-10	-22.760948633311862
5.551115123125783e-17	-44.08972489064388
-1.5334314373838254e-09	-20.30037784948136
5.551115123125783e-17	-96.57060164914662
-49.71748591842696	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-3.4791863834371384e-10	-21.768192723125967
-8.421103536715435e-09	-18.591678864093872
5.551115123125783e-17	-96.57060164914662
-1.0158382662828203e-07	-16.102413204178358
5.551115123125783e-17	-36.20976076303664
-9.537530777370407e-07	-13.86285275543211
5.551115123125783e-17	-96.57059801154243
5.551115123125783e-17	-54.59412065759155
5.551115123125783e-17	-48.44101510159374
5.551115123125783e-17	-96.5705687503851
5.551115123125783e-17	-96.56414626738112
5.551115123125783e-17	-64.40137135139128
-1.5516836432416525e-07	-15.678763818038664
5.551115123125783e-17	-96.57060164914662
-3.725517394581601e-09	-19.404964119549245
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.45921734942385
-1.4707679518721761e-12	-24.976103160906472
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
-2.277146998741486e-08	-17.59800574518967
5.551115123125783e-17	-52.16167360308997
5.551115123125783e-17	-96.57060164914662
-37.36047018872581	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-45.87787067419006
-4.103640038888301e-09	-19.313232523101096
-8.565159578088899e-06	-11.667811757657963
-26.52435342929098	5.551115123125783e-17
-74.370691456005	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-5.777583966803945e-11	-23.838984898672944
-2.328305881427184e-10	-22.189457559805625
5.551115123125783e-17	-64.54084059553945
-54.00672820886855	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-1.0208683620671621e-08	-18.400736322873268
-1.1641526631578358e-10	-22.964414770817864
5.551115123125783e-17	-96.53429375727292
5.551115123125783e-17	-96.57060164914662
-5.8207605402316176e-11	-23.625834468347854
-4.365574013398543e-10	-21.54504945039186
5.551115123125783e-17	-96.57060164914662
-2.037267576859847e-10	-22.35586448707967
5.551115123125783e-17	-50.30585538021811
-6.23687708645182e-07	-14.28762996011745
-37.02949367427385	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-40.64741850861142
-6.54835630164996e-11	-23.339577660422908
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-59.24257322697176
-4.420200316879175e-10	-21.537295244949146
5.551115123125783e-17	-92.74722696350884
-29.32126528589088	5.551115123125783e-17
5.551115123125783e-17	-47.58460175560098
5.551115123125783e-17	-96.57060164914662
-7.187792083751532e-09	-18.750392129153298
5.551115123125783e-17	-56.568151939029725
-6.99962897088291e-08	-16.4748487898448
5.551115123125783e-17	-96.57060164914662
-9.871656769799841e-09	-18.433378414531635
-3.6518138124552735e-08	-17.12570696580322
5.551115123125783e-17	-41.403657296094664
5.551115123125783e-17	-31.277294336555958
-3.004052512300959e-08	-17.320740066432496
5.551115123125783e-17	-90.49990464679207
5.551115123125783e-17	-96.57060164914662
-1.5265708390888033e-05	-11.089909450678316
-94.37337707180863	5.551115123125783e-17
-94.3733770718104	5.551115123125783e-17
-94.3733770718104	5.551115123125783e-17
-1.3159660337991319e-05	-11.238361749458821
-5.5161765544209374e-08	-16.713062119841066
-94.3733770718104	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
-8.946655455366326e-08	-16.22951010632119
5.551115123125783e-17	-85.79443325943492
-1.3578576490980154e-07	-15.812177555417344
5.551115123125783e-17	-96.57060164914662
-4.3428583507143514e-09	-19.253147834886313
5.551115123125783e-17	-96.57060164914662
-14.748797734871747	-3.932638395487409e-07
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-93.75662902907683
5.551115123125783e-17	-34.452581050697226
-1.1686823730983065e-10	-22.858125182287505
-5.14166497989077e-07	-14.480740296956224
-94.3733770718104	5.551115123125783e-17
-3.228323085912476	-0.04043028892583206
5.551115123125783e-17	-96.57060164914662
-32.652986892292724	5.551115123125783e-17
5.551115123125783e-17	-96.57060164914662
-7.927698614240697e-08	-16.350220725695003
5.551115123125783e-17	-96.57060164914662
5.551115123125783e-17	-96.57060164914662
-2.958126466001687e-09	-19.637195302928287
-2.0238882791900892e-10	-22.30930230664882
-5.631088922930516e-08	-16.692194331656598
5.551115123125783e-17	-96.57060164914662
-1.3699564205271741e-08	-18.106590984127955
